"valor","unidade_da_federacao","ano","cor_ou_raca","religiao"
341244,"Rondônia","2000","Branca","Católica"
666,"Rondônia","2000","Branca","Católica"
163652,"Rondônia","2000","Branca","Outras Religiões"
59815,"Rondônia","2000","Branca","Evangélica de Missão"
17918,"Rondônia","2000","Branca","Evangélica de Missão"
9017,"Rondônia","2000","Branca","Evangélica de Missão"
2331,"Rondônia","2000","Branca","Evangélica de Missão"
14956,"Rondônia","2000","Branca","Evangélica de Missão"
107,"Rondônia","2000","Branca","Evangélica de Missão"
15487,"Rondônia","2000","Branca","Evangélica de Missão"
96462,"Rondônia","2000","Branca","Evangélica de origem pentecostal"
54627,"Rondônia","2000","Branca","Evangélica de origem pentecostal"
22639,"Rondônia","2000","Branca","Evangélica de origem pentecostal"
468,"Rondônia","2000","Branca","Evangélica de origem pentecostal"
2743,"Rondônia","2000","Branca","Evangélica de origem pentecostal"
5616,"Rondônia","2000","Branca","Evangélica de origem pentecostal"
58,"Rondônia","2000","Branca","Evangélica de origem pentecostal"
2726,"Rondônia","2000","Branca","Evangélica de origem pentecostal"
598,"Rondônia","2000","Branca","Evangélica de origem pentecostal"
6985,"Rondônia","2000","Branca","Evangélica de origem pentecostal"
3571,"Rondônia","2000","Branca","Outras cristãs"
2686,"Rondônia","2000","Branca","Outras cristãs"
885,"Rondônia","2000","Branca","Evangélica de origem pentecostal"
3804,"Rondônia","2000","Branca","Outras cristãs"
4265,"Rondônia","2000","Branca","Outras cristãs"
4265,"Rondônia","2000","Branca","Outras cristãs"
448,"Rondônia","2000","Branca","Outras cristãs"
2696,"Rondônia","2000","Branca","Outras cristãs"
62,"Rondônia","2000","Branca","Outras Religiões"
3259,"Rondônia","2000","Branca","Outras Religiões"
64,"Rondônia","2000","Branca","Outras Religiões"
30,"Rondônia","2000","Branca","Outras Religiões"
96,"Rondônia","2000","Branca","Outras Religiões"
208,"Rondônia","2000","Branca","Outras Religiões"
331,"Rondônia","2000","Branca","Outras Religiões"
174,"Rondônia","2000","Branca","Outras Religiões"
157,"Rondônia","2000","Branca","Outras Religiões"
46,"Rondônia","2000","Branca","Outras Religiões"
64,"Rondônia","2000","Branca","Outras Religiões"
132,"Rondônia","2000","Branca","Outras Religiões"
526,"Rondônia","2000","Branca","Outras Religiões"
54,"Rondônia","2000","Branca","Outras Religiões"
67558,"Rondônia","2000","Branca","Sem religião"
2125,"Rondônia","2000","Branca","Outras Religiões"
1042,"Rondônia","2000","Branca","Outras Religiões"
35448,"Rondônia","2000","Preta","Católica"
37,"Rondônia","2000","Preta","Católica"
16393,"Rondônia","2000","Preta","Outras Religiões"
3646,"Rondônia","2000","Preta","Evangélica de Missão"
146,"Rondônia","2000","Preta","Evangélica de Missão"
562,"Rondônia","2000","Preta","Evangélica de Missão"
248,"Rondônia","2000","Preta","Evangélica de Missão"
1391,"Rondônia","2000","Preta","Evangélica de Missão"
40,"Rondônia","2000","Preta","Evangélica de Missão"
1259,"Rondônia","2000","Preta","Evangélica de Missão"
11755,"Rondônia","2000","Preta","Evangélica de origem pentecostal"
7600,"Rondônia","2000","Preta","Evangélica de origem pentecostal"
1961,"Rondônia","2000","Preta","Evangélica de origem pentecostal"
89,"Rondônia","2000","Preta","Evangélica de origem pentecostal"
322,"Rondônia","2000","Preta","Evangélica de origem pentecostal"
566,"Rondônia","2000","Preta","Evangélica de origem pentecostal"
320,"Rondônia","2000","Preta","Evangélica de origem pentecostal"
898,"Rondônia","2000","Preta","Evangélica de origem pentecostal"
403,"Rondônia","2000","Preta","Outras cristãs"
282,"Rondônia","2000","Preta","Outras cristãs"
121,"Rondônia","2000","Preta","Evangélica de origem pentecostal"
589,"Rondônia","2000","Preta","Outras cristãs"
575,"Rondônia","2000","Preta","Outras cristãs"
575,"Rondônia","2000","Preta","Outras cristãs"
100,"Rondônia","2000","Preta","Outras cristãs"
246,"Rondônia","2000","Preta","Outras cristãs"
20,"Rondônia","2000","Preta","Outras Religiões"
107,"Rondônia","2000","Preta","Outras Religiões"
38,"Rondônia","2000","Preta","Outras Religiões"
21,"Rondônia","2000","Preta","Outras Religiões"
19,"Rondônia","2000","Preta","Outras Religiões"
50,"Rondônia","2000","Preta","Outras Religiões"
50,"Rondônia","2000","Preta","Outras Religiões"
9,"Rondônia","2000","Preta","Outras Religiões"
54,"Rondônia","2000","Preta","Outras Religiões"
28,"Rondônia","2000","Preta","Outras Religiões"
10005,"Rondônia","2000","Preta","Sem religião"
181,"Rondônia","2000","Preta","Outras Religiões"
121,"Rondônia","2000","Preta","Outras Religiões"
1887,"Rondônia","2000","Amarela","Católica"
658,"Rondônia","2000","Amarela","Outras Religiões"
217,"Rondônia","2000","Amarela","Evangélica de Missão"
3,"Rondônia","2000","Amarela","Evangélica de Missão"
89,"Rondônia","2000","Amarela","Evangélica de Missão"
42,"Rondônia","2000","Amarela","Evangélica de Missão"
83,"Rondônia","2000","Amarela","Evangélica de Missão"
358,"Rondônia","2000","Amarela","Evangélica de origem pentecostal"
220,"Rondônia","2000","Amarela","Evangélica de origem pentecostal"
63,"Rondônia","2000","Amarela","Evangélica de origem pentecostal"
8,"Rondônia","2000","Amarela","Evangélica de origem pentecostal"
22,"Rondônia","2000","Amarela","Evangélica de origem pentecostal"
13,"Rondônia","2000","Amarela","Evangélica de origem pentecostal"
9,"Rondônia","2000","Amarela","Evangélica de origem pentecostal"
22,"Rondônia","2000","Amarela","Evangélica de origem pentecostal"
6,"Rondônia","2000","Amarela","Outras cristãs"
6,"Rondônia","2000","Amarela","Evangélica de origem pentecostal"
78,"Rondônia","2000","Amarela","Outras cristãs"
22,"Rondônia","2000","Amarela","Outras cristãs"
22,"Rondônia","2000","Amarela","Outras cristãs"
8,"Rondônia","2000","Amarela","Outras Religiões"
48,"Rondônia","2000","Amarela","Outras Religiões"
48,"Rondônia","2000","Amarela","Outras Religiões"
17,"Rondônia","2000","Amarela","Outras Religiões"
31,"Rondônia","2000","Amarela","Outras Religiões"
5,"Rondônia","2000","Amarela","Outras Religiões"
419,"Rondônia","2000","Amarela","Sem religião"
401271,"Rondônia","2000","Parda","Católica"
1298,"Rondônia","2000","Parda","Católica"
187294,"Rondônia","2000","Parda","Outras Religiões"
44240,"Rondônia","2000","Parda","Evangélica de Missão"
2507,"Rondônia","2000","Parda","Evangélica de Missão"
6353,"Rondônia","2000","Parda","Evangélica de Missão"
2734,"Rondônia","2000","Parda","Evangélica de Missão"
15854,"Rondônia","2000","Parda","Evangélica de Missão"
184,"Rondônia","2000","Parda","Evangélica de Missão"
16607,"Rondônia","2000","Parda","Evangélica de Missão"
132343,"Rondônia","2000","Parda","Evangélica de origem pentecostal"
80439,"Rondônia","2000","Parda","Evangélica de origem pentecostal"
23996,"Rondônia","2000","Parda","Evangélica de origem pentecostal"
716,"Rondônia","2000","Parda","Evangélica de origem pentecostal"
3670,"Rondônia","2000","Parda","Evangélica de origem pentecostal"
7853,"Rondônia","2000","Parda","Evangélica de origem pentecostal"
177,"Rondônia","2000","Parda","Evangélica de origem pentecostal"
4918,"Rondônia","2000","Parda","Evangélica de origem pentecostal"
493,"Rondônia","2000","Parda","Evangélica de origem pentecostal"
10082,"Rondônia","2000","Parda","Evangélica de origem pentecostal"
4454,"Rondônia","2000","Parda","Outras cristãs"
2940,"Rondônia","2000","Parda","Outras cristãs"
1514,"Rondônia","2000","Parda","Evangélica de origem pentecostal"
6257,"Rondônia","2000","Parda","Outras cristãs"
5073,"Rondônia","2000","Parda","Outras cristãs"
5073,"Rondônia","2000","Parda","Outras cristãs"
604,"Rondônia","2000","Parda","Outras cristãs"
2752,"Rondônia","2000","Parda","Outras cristãs"
83,"Rondônia","2000","Parda","Outras Religiões"
1740,"Rondônia","2000","Parda","Outras Religiões"
291,"Rondônia","2000","Parda","Outras Religiões"
119,"Rondônia","2000","Parda","Outras Religiões"
29,"Rondônia","2000","Parda","Outras Religiões"
52,"Rondônia","2000","Parda","Outras Religiões"
168,"Rondônia","2000","Parda","Outras Religiões"
114,"Rondônia","2000","Parda","Outras Religiões"
55,"Rondônia","2000","Parda","Outras Religiões"
23,"Rondônia","2000","Parda","Outras Religiões"
140,"Rondônia","2000","Parda","Outras Religiões"
148,"Rondônia","2000","Parda","Outras Religiões"
536,"Rondônia","2000","Parda","Outras Religiões"
64,"Rondônia","2000","Parda","Outras Religiões"
92664,"Rondônia","2000","Parda","Sem religião"
2512,"Rondônia","2000","Parda","Outras Religiões"
1446,"Rondônia","2000","Parda","Outras Religiões"
4354,"Rondônia","2000","Indígena","Católica"
3086,"Rondônia","2000","Indígena","Outras Religiões"
1740,"Rondônia","2000","Indígena","Evangélica de Missão"
61,"Rondônia","2000","Indígena","Evangélica de Missão"
41,"Rondônia","2000","Indígena","Evangélica de Missão"
1467,"Rondônia","2000","Indígena","Evangélica de Missão"
171,"Rondônia","2000","Indígena","Evangélica de Missão"
1161,"Rondônia","2000","Indígena","Evangélica de origem pentecostal"
669,"Rondônia","2000","Indígena","Evangélica de origem pentecostal"
155,"Rondônia","2000","Indígena","Evangélica de origem pentecostal"
5,"Rondônia","2000","Indígena","Evangélica de origem pentecostal"
17,"Rondônia","2000","Indígena","Evangélica de origem pentecostal"
49,"Rondônia","2000","Indígena","Evangélica de origem pentecostal"
9,"Rondônia","2000","Indígena","Evangélica de origem pentecostal"
45,"Rondônia","2000","Indígena","Evangélica de origem pentecostal"
212,"Rondônia","2000","Indígena","Evangélica de origem pentecostal"
66,"Rondônia","2000","Indígena","Outras cristãs"
20,"Rondônia","2000","Indígena","Outras cristãs"
46,"Rondônia","2000","Indígena","Evangélica de origem pentecostal"
119,"Rondônia","2000","Indígena","Outras cristãs"
38,"Rondônia","2000","Indígena","Outras cristãs"
38,"Rondônia","2000","Indígena","Outras cristãs"
9,"Rondônia","2000","Indígena","Outras cristãs"
7,"Rondônia","2000","Indígena","Outras cristãs"
18,"Rondônia","2000","Indígena","Outras Religiões"
33,"Rondônia","2000","Indígena","Outras Religiões"
22,"Rondônia","2000","Indígena","Outras Religiões"
11,"Rondônia","2000","Indígena","Outras Religiões"
2546,"Rondônia","2000","Indígena","Sem religião"
507,"Rondônia","2000","Indígena","Outras Religiões"
53,"Rondônia","2000","Indígena","Outras Religiões"
9263,"Rondônia","2000","Sem declaração","Católica"
60,"Rondônia","2000","Sem declaração","Católica"
4399,"Rondônia","2000","Sem declaração","Outras Religiões"
1222,"Rondônia","2000","Sem declaração","Evangélica de Missão"
91,"Rondônia","2000","Sem declaração","Evangélica de Missão"
176,"Rondônia","2000","Sem declaração","Evangélica de Missão"
13,"Rondônia","2000","Sem declaração","Evangélica de Missão"
419,"Rondônia","2000","Sem declaração","Evangélica de Missão"
8,"Rondônia","2000","Sem declaração","Evangélica de Missão"
515,"Rondônia","2000","Sem declaração","Evangélica de Missão"
2938,"Rondônia","2000","Sem declaração","Evangélica de origem pentecostal"
